"","gene1","gene2","test","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"25","HVR1","NS4B","two.sided",2.97160693271066e-05,0.00163438381299086,0.000125721831768528,0.00127779098106558,0.00127779098106558,0.00121835884241137,0.000577517341717627
"26","HVR1","NS5A","two.sided",1.98039398053682e-05,0.00108921668929525,9.0768057441271e-05,0.000871373351436202,0.000871373351436202,0.000831765471825465,0.000416953257115031
"27","HVR1","NS5B","two.sided",3.08655751751489e-08,1.69760663463319e-06,3.39521326926638e-07,1.57414433393259e-06,1.57414433393259e-06,1.57414433393259e-06,1.55962931357955e-06
"28","E2","NS1","two.sided",0.114230606512797,1,0.146108915307065,1,0.949888290117883,0.913844852102373,0.67116769762581
"29","E2","NS2","two.sided",0.237948965184434,1,0.284504197503127,1,0.949888290117883,0.949888290117883,1
"30","E2","NS3","two.sided",0.00116859368300281,0.0642726525651544,0.00267802719021477,0.0373949978560899,0.0373949978560899,0.0338892168070814,0.0123018184048407
"31","E2","NS4A","two.sided",0.231061926538268,1,0.28240902132455,1,0.949888290117883,0.949888290117883,1
"32","E2","NS4B","two.sided",0.0152565657211169,0.839111114661431,0.0262222223331697,0.366157577306806,0.36354872730106,0.289874748701221,0.120454720733489
"33","E2","NS5A","two.sided",0.0116219588615624,0.639207737385933,0.021757430059842,0.313792889262185,0.308559917212305,0.234587105128908,0.0999451964230179
"34","E2","NS5B","two.sided",1.95578748378795e-11,1.07568311608337e-09,5.37841558041685e-10,1.05612524124549e-09,1.05612524124549e-09,1.05612524124549e-09,2.47063554910164e-09
"35","NS1","NS2","two.sided",0.409690577551282,1,0.469437120110844,1,0.949888290117883,0.949888290117883,1
"36","NS1","NS3","two.sided",0.000717547370428988,0.0394651053735943,0.00179386842607247,0.0243966105945856,0.0243966105945856,0.0215264211128696,0.00824033590859512
"37","NS1","NS4A","two.sided",0.034309428696026,1,0.0555005464200421,0.754807431312573,0.754807431312573,0.514641430440391,0.254947987803676
"38","NS1","NS4B","two.sided",0.00207850056768708,0.11431753122279,0.0042339826378811,0.0602765164629255,0.0602765164629255,0.0602765164629255,0.0194492743504536
"39","NS1","NS5A","two.sided",0.00188356188140821,0.103595903477451,0.00398445782605583,0.0565068564422463,0.0565068564422463,0.0546232945608381,0.0183030541276745
"40","NS1","NS5B","two.sided",9.01542183334824e-09,4.95848200834153e-07,1.41883325781715e-07,4.77817357167457e-07,4.77817357167457e-07,4.68801935334109e-07,6.51756977979575e-07
"41","NS2","NS3","two.sided",4.32075330539104e-05,0.00237641431796507,0.000158427621197671,0.00178229678866135,0.00177150885521032,0.00177150885521032,0.000727755055440023
"42","NS2","NS4A","two.sided",0.0768734848679066,1,0.104896673025122,1,0.949888290117883,0.872626497847054,0.481854638198617
"43","NS2","NS4B","two.sided",0.000924133400465463,0.0508273370256004,0.00220988421850437,0.0304964022153603,0.0304964022153603,0.0277240020139639,0.0101513511330644
"44","NS2","NS5A","two.sided",0.000528005789007941,0.0290403183954367,0.00140678249995625,0.0190082084042859,0.0187997297721426,0.0166280045414967,0.00646221327132293
"45","NS2","NS5B","two.sided",2.1855708357718e-13,1.20206395967449e-11,1.20206395967449e-11,1.20206395967449e-11,1.20206395967449e-11,1.20206395967449e-11,5.52181568467697e-11
"46","NS3","NS4A","two.sided",0.718458729718525,1,0.778486313831364,1,0.949888290117883,0.949888290117883,1
"47","NS3","NS4B","two.sided",0.749071835314191,1,0.778486313831364,1,0.949888290117883,0.949888290117883,1
"48","NS3","NS5A","two.sided",0.443506955901098,1,0.497813930093069,1,0.949888290117883,0.949888290117883,1
"49","NS3","NS5B","two.sided",4.24356378252703e-05,0.00233396008038986,0.000158427621197671,0.00178229678866135,0.00177150885521032,0.00173986115083608,0.000727755055440023
"50","NS4A","NS4B","two.sided",0.799907623026466,1,0.814720727156586,1,0.949888290117883,0.949888290117883,1
"51","NS4A","NS5A","two.sided",0.949888290117883,1,0.949888290117883,1,0.949888290117883,0.949888290117883,1
"52","NS4A","NS5B","two.sided",0.0158064664043939,0.869355652241664,0.0263441106739898,0.366157577306806,0.36354872730106,0.297143666496617,0.121014628504372
"53","NS4B","NS5A","two.sided",0.749364163078165,1,0.778486313831364,1,0.949888290117883,0.949888290117883,1
"54","NS4B","NS5B","two.sided",0.000162280267898044,0.00892541473439241,0.000528985993181234,0.00649121071592175,0.00637668569962106,0.00600436991222762,0.00242995651821517
"55","NS5A","NS5B","two.sided",1.61386356871514e-06,8.87624962793325e-05,1.10953120349166e-05,7.74654512983266e-05,7.74654512983266e-05,7.58515877296114e-05,5.09675608587232e-05
